id_hecho;n_victimas;fecha;aaaa;mm;dd;hora;hh;direccion_normalizada;calle;altura;cruce;otra_direccion;comuna;tipo_de_calle;geocodificacion_caba;longitud;latitud;participantes;victima;contraparte;gravedad;tipo_de_dato
LC-2020-0225232;1;2020-05-03;2020;5;3;04:00:00 p.m.;16;MONROE AV. 3149;MONROE AV.;3149;;SD;12;AVENIDA;Point (99642.5186821645 107410.328324544);-58.467194716205;-34.562470010221;MOTO-UTILITARIO;MOTO;UTILITARIO;SD;definitivo
LC-2020-0226114;1;2020-05-04;2020;5;4;01:30:00 p.m.;13;LARRALDE, CRISOLOGO AV. 3073;LARRALDE, CRISOLOGO AV.;3073;;SD;12;AVENIDA;Point (98988.843315559 108556.382421167);-58.474316145718;-34.552138443415;BICICLETA-SD;BICICLETA;SD;SD;definitivo
LC-2020-0228704;1;2020-05-06;2020;5;6;01:00:00 p.m.;13;MELIAN AV. 4602;MELIAN AV.;4602;;SD;12;AVENIDA;Point (97920.2382734077 109084.27328775);-58.485957586936;-34.54737810648;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0235919;1;2020-05-11;2020;5;11;04:10:00 p.m.;16;MONROE 4595;MONROE;4595;;SD;12;CALLE;Point (98378.879401973 106468.911727631);-58.480965994834;-34.570955106848;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0241580;1;2020-05-15;2020;5;15;11:00:00 a.m.;11;MILLER y PEDRAZA, MANUELA;MILLER;0;PEDRAZA, MANUELA;SD;12;CALLE;Point (97720.4684793652 107339.917052255);-58.488138799306;-34.563102163920;CAMION-TRANSPORTE PUBLICO;CAMION;TRANSPORTE PUBLICO;SD;definitivo
LC-2020-0242044;1;2020-05-15;2020;5;15;02:00:00 p.m.;14;PIRAN y MEDEYROS;PIRAN;0;MEDEYROS;SD;12;CALLE;Point (96118.6973547758 106475.286596995);-58.505596854740;-34.570891470089;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0245886;1;2020-05-18;2020;5;18;01:50:00 p.m.;13;MOSCONI GENERAL AV. y ARGERICH;MOSCONI GENERAL AV.;0;ARGERICH;SD;12;AVENIDA;Point (96312.9342326721 104681.070798744);-58.503488012339;-34.587066080300;AUTO-AUTO;AUTO;AUTO;SD;definitivo
LC-2020-0245605;1;2020-05-18;2020;5;18;01:00:00 p.m.;13;RIVERA, PEDRO I., DR. y TRIUNVIRATO AV.;RIVERA, PEDRO I., DR.;0;TRIUNVIRATO AV.;SD;12;AVENIDA;Point (97653.0008606971 106314.361874345);-58.488876872077;-34.572346852038;TRANSPORTE PUBLICO-TRANSPORTE PUBLICO;TRANSPORTE PUBLICO;TRANSPORTE PUBLICO;SD;definitivo
LC-2020-0245108;2;2020-05-18;2020;5;18;09:00:00 a.m.;9;PAZ, GRAL. AV. y VEDIA;PAZ, GRAL. AV.;0;VEDIA;SD;12;AV. GRAL. PAZ;Point (97603.2675935134 109241.338114633);-58.489410426249;-34.545961537757;UTILITARIO-SD;UTILITARIO;SD;SD;definitivo
LC-2020-0255441;1;2020-05-23;2020;5;23;10:30:00 a.m.;10;ARTIGAS, JOSE GERVASIO, GRAL. y COCHRANE;ARTIGAS, JOSE GERVASIO, GRAL.;0;COCHRANE;SD;12;CALLE;Point (96312.904180708 105791.811125216);-58.503483448527;-34.577053362143;BICICLETA-UTILITARIO;BICICLETA;UTILITARIO;SD;definitivo
LC-2020-0259296;2;2020-05-26;2020;5;26;04:30:00 p.m.;16;HABANA y TERRADA;HABANA;0;TERRADA;SD;12;CALLE;Point (96783.1263469798 104515.13206036);-58.498363628692;-34.5885635314;BICICLETA-AUTO;BICICLETA;AUTO;SD;definitivo
LC-2020-0258713;1;2020-05-26;2020;5;26;05:25:00 p.m.;17;ALVAREZ THOMAS AV. y ECHEVERRIA;ALVAREZ THOMAS AV.;0;ECHEVERRIA;SD;12;AVENIDA;Point (98703.5917351352 105923.416081288);-58.477428229015;-34.575872938768;MOTO-UTILITARIO;MOTO;UTILITARIO;SD;definitivo
LC-2020-0266297;1;2020-05-29;2020;5;29;02:30:00 p.m.;14;DONADO y BALBIN, RICARDO, DR. AV.;DONADO;0;BALBIN, RICARDO, DR. AV.;SD;12;CALLE;Point (97666.6060056138 108242.349319089);-58.488723190161;-34.554967073728;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0266558;1;2020-05-29;2020;5;29;11:00:00 p.m.;23;ALTOLAGUIRRE y JURAMENTO;ALTOLAGUIRRE;0;JURAMENTO;SD;12;CALLE;Point (97764.6581212184 105353.985971365);-58.487662627053;-34.581004380746;SD-SD;SD;SD;SD;definitivo
LC-2020-0271536;1;2020-06-01;2020;6;1;05:40:00 a.m.;5;JURAMENTO y DE LOS CONSTITUYENTES AV.;JURAMENTO;0;DE LOS CONSTITUYENTES AV.;SD;12;CALLE;Point (97454.6724218963 105145.707623575);-58.491041816531;-34.582881158948;MOTO-UTILITARIO;MOTO;UTILITARIO;SD;definitivo
